
		//雪图事件

		"descent_of_winterblight_aertega"							"艾特嘎"
		"winterblight_aurora_boss_3"								"斯威本"
		"winterblight_space_shark"								"星空鲨"
		"winterblight_star_eater"								"噬星者"
		"winter_bone_blister"									"寒霜巫妖"
		"winterblight_galaxy_knight"							"银河骑士"
		"winterblight_frozen_krow"								"冻结飞龙"
		"winterblight_mind_chatterer"							"思维毁灭者"
		"winterblight_wintertide_monk"							"寒潮僧侣"
		"winterblight_winters_chieftain"						"寒冬酋长"

		"DOTA_Tooltip_ability_winterblight_gang_up"				"团结"
		"DOTA_Tooltip_ability_winterblight_gang_up_Description"	"为每一个周围拥有 团结 技能的单位增加一层强化buff层数，每层都能增加一定的属性."
		"DOTA_Tooltip_ability_winterblight_gang_up_armor"		"每层增加护甲："
		"DOTA_Tooltip_ability_winterblight_gang_up_attack_damage_percent"	"% 每层额外攻击力:"
		"DOTA_Tooltip_ability_winterblight_gang_up_attack_speed"			"每层增加攻击速度:"
		"DOTA_Tooltip_ability_winterblight_gang_up_movespeed"				"每层增加移动速度:"

		"DOTA_Tooltip_modifier_gangup_stack"					"团结"
		"DOTA_Tooltip_modifier_gangup_stack_Description"		"为周围拥有 团结 技能的友军提供强化"
                                
                                "DOTA_Tooltip_ability_winterblight_damage_sap"			"攻击窃取"
		"DOTA_Tooltip_ability_winterblight_damage_sap_Description"	"攻击敌人的时候降低其基础攻击力,并且提高自身的攻击力，持续8秒."
		"DOTA_Tooltip_ability_winterblight_damage_sap_damage_sap"	"攻击力降低:"

		"DOTA_Tooltip_modifier_damage_sap_stack_owner"			"攻击窃取"
		"DOTA_Tooltip_modifier_damage_sap_stack_owner_Description"	"偷取的攻击力"

		"DOTA_Tooltip_modifier_damage_sap_stack_enemy"			"攻击窃取"
		"DOTA_Tooltip_modifier_damage_sap_stack_enemy_Description"	"减少的攻击力"

		"DOTA_Tooltip_ability_relict_monkey_leap"				"虚晃跳跃"
		"DOTA_Tooltip_ability_relict_monkey_leap_Description"	"向目标地点跳跃"
		"DOTA_Tooltip_ability_relict_monkey_leap_cast_range"	"施法距离:"

		"DOTA_Tooltip_ability_winterblight_ice_vortex_aoe"		"寒气传播"
		"DOTA_Tooltip_ability_winterblight_ice_vortex_aoe_Description" "生成多个冰天雪地的区域，减速区域内的敌人."
		"DOTA_Tooltip_ability_winterblight_ice_vortex_aoe_ms_slow"	"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_ice_vortex_aoe_as_slow"	"攻击速度降低:"

		"DOTA_Tooltip_modifier_ice_vortex_aoe_slow"				"寒气传播"
		"DOTA_Tooltip_modifier_ice_vortex_aoe_slow_Description"	"极大地降低攻击速度和移动速度"

		"DOTA_Tooltip_ability_winterblight_rock_guardian_passive" "巨石守卫"
		"DOTA_Tooltip_ability_winterblight_rock_guardian_passive_Description"	"攻击对目标叠加一层debuff，当debuff到达一定层数时目标将会被眩晕并击退."
		"DOTA_Tooltip_ability_winterblight_rock_guardian_passive_stacks"		"触发眩晕的debuff层数:"

		"DOTA_Tooltip_modifier_winterblight_rock_tower_stack"	"排斥之力"
		"DOTA_Tooltip_modifier_winterblight_rock_tower_stack_Description"	"当debuff到达一定层数时将会被眩晕并击退."

		"DOTA_Tooltip_ability_winterblight_merkurio_passive"	"欺诈"
		"DOTA_Tooltip_ability_winterblight_merkurio_passive_Description"	""

		"DOTA_Tooltip_ability_winterblight_cave_guide_ability"	"遗物召唤"
		"DOTA_Tooltip_ability_winterblight_cave_guide_ability_Description"	"可以使用饱含力量的遗物碎片召唤远古巨兽."

		"DOTA_Tooltip_ability_winter_centaur_stampede"			"战斗狂热"
		"DOTA_Tooltip_ability_winter_centaur_stampede_Description"	"强力的咆哮增强了附近友军的决心和战斗力."	
		"DOTA_Tooltip_ability_winter_centaur_stampede_duration"		"狂热持续时间:"
		"DOTA_Tooltip_ability_winter_centaur_stampede_atk_pct"		"% 额外攻击力:"	
		"DOTA_Tooltip_ability_winter_centaur_stampede_ms_bonus"		"额外移动速度:"

		"DOTA_Tooltip_ability_mana_null_spirit_warp"			"精神跃迁"
		"DOTA_Tooltip_ability_mana_null_spirit_warp_Description"	"通过精神力量的内在爆发，移动至目标地点."
		"DOTA_Tooltip_ability_mana_null_spirit_warp_cast_range"	"施法距离:"

		"DOTA_Tooltip_ability_winterblight_mana_null_passive"	"法力加护"
		"DOTA_Tooltip_ability_winterblight_mana_null_passive_Description"	"只要法力值高于0，便不会受到伤害.每次受到伤害法力值都会减少1. .<br>此外，普通攻击将会损毁目标当前法力值的一定百分比并附带基于损毁法力值的额外伤害."
		"DOTA_Tooltip_ability_winterblight_mana_null_passive_mana_drain_percent"	"% 当前法力值损毁:"

		"DOTA_Tooltip_ability_winterblight_blood_might_passive"		"鲜血渴望"
		"DOTA_Tooltip_ability_winterblight_blood_might_passive_Description"		"根据附近敌人损失的每点生命值提高攻击力. 根据附近生命值最高的敌人的 % 当前生命值 获得 % 额外攻击力."
		"DOTA_Tooltip_ability_winterblight_blood_might_passive_attack_damage_pct_pct_of_current_health"	"% 从生命值最高的敌人获取的攻击力:"
		"DOTA_Tooltip_ability_winterblight_blood_might_passive_attack_damage_per_missing_health"			"根据附近所有敌人损失的每点生命值获得的攻击力:"
		"DOTA_Tooltip_modifier_blood_might_health_pct_bonus"			"鲜血渴望"
		"DOTA_Tooltip_modifier_blood_might_health_pct_bonus_Description"	"根据周围敌人的生命值获得额外攻击力."

		"DOTA_Tooltip_ability_curse_of_belial"						"邪恶诅咒"
		"DOTA_Tooltip_ability_curse_of_belial_Description"			"对目标施加恶魔的诅咒，降低他们百分比的基础攻击力和移动速度。当受恶魔诅咒影响的目标使用技能时，他们会损失最大生命值的一定百分比的血量."
		"DOTA_Tooltip_ability_curse_of_belial_pct_damage_on_spell_cast"	"% 施法时最大生命值损失:"
		"DOTA_Tooltip_ability_curse_of_belial_base_attack_damage_reduction"	"% 基础攻击力降低:"
		"DOTA_Tooltip_ability_curse_of_belial_base_attack_damage_movement_slow"	"% 移动速度降低:"
		"DOTA_Tooltip_ability_curse_of_belial_base_attack_damage_duration"	"诅咒持续时间:"

		"DOTA_Tooltip_modifier_curse_of_belial"						"邪恶诅咒"
		"DOTA_Tooltip_modifier_curse_of_belial_Description"			"施法减少生命值. 移动速度和基础攻击力降低."

		"DOTA_Tooltip_ability_winterblight_ultra_ice_passive"		"极寒幽魂被动"
		"DOTA_Tooltip_ability_winterblight_ultra_ice_passive_Description"	"向所有附近的敌人发射碎冰片。受到冲击的目标受到伤害，并且降低移动速度和攻击速度 ."
		"DOTA_Tooltip_ability_winterblight_ultra_ice_passive_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_ultra_ice_passive_ms_loss"		"移动速度损失:"
		"DOTA_Tooltip_ability_winterblight_ultra_ice_passive_as_loss"		"攻击速度损失:"

		"DOTA_Tooltip_modifier_ultra_ice_enraged"					"暴怒的"

		"DOTA_Tooltip_ability_winterblight_drill_digger_passive"		"螺旋冲击"
		"DOTA_Tooltip_ability_winterblight_drill_digger_passive_Description"	"攻击叠加 螺旋冲击 buff层数. 当层数到达5时, 下一次攻击会对附近最多5个目标下方触发地震，这些目标会受到攻击力相关的伤害并被眩晕.<br>不会在作用于眩晕的目标时叠加螺旋冲击层数."
		"DOTA_Tooltip_ability_winterblight_drill_digger_passive_damage_pct_attack_power"	"% 攻击力加入到伤害:"
		"DOTA_Tooltip_ability_winterblight_drill_digger_passive_quake_radius"				"地震范围:"
		"DOTA_Tooltip_ability_winterblight_drill_digger_passive_radius"						"最大地震搜索距离:"
		"DOTA_Tooltip_ability_winterblight_drill_digger_passive_attack_pwr_bonus_per_stack"	"% 每层螺旋冲击buff提供攻击力:"
		"DOTA_Tooltip_ability_winterblight_drill_digger_passive_max_quakes"					"最大地震:"

		"DOTA_Tooltip_modifier_drill_digger_stack"					"螺旋冲击层数"
		"DOTA_Tooltip_modifier_drill_digger_stack_Description"		"拥有5层该buff时攻击会触发地震，对附近目标造成伤害并眩晕."

		"DOTA_Tooltip_ability_drill_crusher"						"穿甲"
		"DOTA_Tooltip_ability_drill_crusher_Description"			"所有物理伤害无视护甲."

		"DOTA_Tooltip_ability_pantheon_deceptive_light"				"狡诈闪光"
		"DOTA_Tooltip_ability_pantheon_deceptive_light_Description"	"攻击有20%的几率使用眩目的光线致盲目标，造成伤害并将他们缴械."	
		"DOTA_Tooltip_ability_pantheon_deceptive_light_disarm_duration"	"缴械持续时间:"
		"DOTA_Tooltip_ability_pantheon_deceptive_light_damage_atk_pwr_pct"	"%基于攻击力的伤害 :"

		"DOTA_Tooltip_modifier_deceptive_light"						"狡诈闪光"
		"DOTA_Tooltip_modifier_deceptive_light_Description"			"被缴械."	

		"DOTA_Tooltip_ability_husker_dig"							"掘地"
		"DOTA_Tooltip_ability_husker_dig_Description"				"遁入地下, 进入免疫魔法和攻击的状态.  3.5-4.5秒之后, 移动至目标位置."

		"DOTA_Tooltip_modifier_husker_dig_thinker"					"掘地"
		"DOTA_Tooltip_modifier_husker_dig_thinker_Description"		"不能移动.免疫攻击和魔法."

		"DOTA_Tooltip_ability_winterblight_tanky"					"硬化"
		"DOTA_Tooltip_ability_winterblight_tanky_Description"		"极大地减少即将到来的伤害."
		"DOTA_Tooltip_ability_winterblight_tanky_damage_block"		"% 伤害减少:"

		"DOTA_Tooltip_ability_winter_cavern_spark"					"幻影火花"
		"DOTA_Tooltip_ability_winter_cavern_spark_Description"		"向前发射3发投射物，使被击中的敌人受到伤害并暂时麻痹。当一目标被连续击中5次时，他会在1秒内对麻痹状态免疫."	
		"DOTA_Tooltip_ability_winter_cavern_spark_base_damage"		"伤害:"
		"DOTA_Tooltip_ability_winter_cavern_spark_paralyze_duration"	"麻痹持续时间:"
		"DOTA_Tooltip_ability_winter_cavern_spark_percent_attack_power"		"% 攻击力加入到额外伤害:"

		"DOTA_Tooltip_modifier_cavern_spark_paralyze"				"幻影火花"
		"DOTA_Tooltip_modifier_cavern_spark_paralyze_Description"	"被麻痹"

		"DOTA_Tooltip_modifier_merkurio_crystal_red"				"鲜红水晶"
		"DOTA_Tooltip_modifier_merkurio_crystal_red_Description"	"所有寒霜大厅的怪物增加 100%%的攻击力."

		"DOTA_Tooltip_modifier_merkurio_crystal_blue"				"湛蓝水晶"
		"DOTA_Tooltip_modifier_merkurio_crystal_blue_Description"	"所有寒霜大厅的怪物获得90%%伤害减免."

		"DOTA_Tooltip_modifier_merkurio_crystal_green"				"翠绿水晶"
		"DOTA_Tooltip_modifier_merkurio_crystal_green_Description"	"所有寒霜大厅的怪物增加 10%%生命恢复."

		"DOTA_Tooltip_modifier_merkurio_crystal_yellow"				"明黄水晶"
		"DOTA_Tooltip_modifier_merkurio_crystal_yellow_Description"	"所有寒霜大厅的怪物增加 100%%攻击速度和移动速度."

		"DOTA_Tooltip_modifier_merkurio_crystal_purple"				"暗紫水晶"
		"DOTA_Tooltip_modifier_merkurio_crystal_purple_Description"	"每过0.9秒, 获得 3层可将伤害降低至0的护盾."

		"DOTA_Tooltip_ability_winterblight_disappearing_act"		"隐身术"
		"DOTA_Tooltip_ability_winterblight_disappearing_act_Description"	"暂时隐形."
		"DOTA_Tooltip_ability_winterblight_disappearing_act_duration"		"隐形持续时间:"

		"DOTA_Tooltip_ability_winterblight_confusional_spores"		"混乱孢子"
		"DOTA_Tooltip_ability_winterblight_confusional_spores_Description"	"在目标区域喷洒孢子云，混淆敌人并使他们的行动指令颠倒."
		"DOTA_Tooltip_ability_winterblight_confusional_spores_duration"		"持续时间:"

		"DOTA_Tooltip_modifier_confusional_spores"					"混乱孢子"
		"DOTA_Tooltip_modifier_confusional_spores_Description"		"行动指令颠倒"

		"DOTA_Tooltip_ability_winterblight_tweaking_arrow"			"扭曲之箭"
		"DOTA_Tooltip_ability_winterblight_tweaking_arrow_Description"	"被扭曲之箭击中的敌人将会被强制向攻击者使用第3个技能，若这个技能没有进入冷却时间."

		"DOTA_Tooltip_ability_winterblight_fungal_minion"			"真菌雾"
		"DOTA_Tooltip_ability_winterblight_fungal_minion_Description"	"制造毒气云，使敌人减速并造成伤害 ."
		"DOTA_Tooltip_ability_winterblight_fungal_minion_poison_damage"	"毒气每秒伤害:"

		"DOTA_Tooltip_ability_winterblight_distance_cap_aura"		"狭隘光环"
		"DOTA_Tooltip_ability_winterblight_distance_cap_aura_Description"	"受此光环影响的敌人，其技能的施法范围受到限制."
		"DOTA_Tooltip_ability_winterblight_distance_cap_aura_range_cap"	"范围限制:"

		"DOTA_Tooltip_modifier_distance_cap_effect"					"狭隘光环"
		"DOTA_Tooltip_modifier_distance_cap_effect_Description"		"技能的施法范围受到限制."

		"DOTA_Tooltip_ability_winterblight_spirit_ring"				"摄魂圈"
		"DOTA_Tooltip_ability_winterblight_spirit_ring_Description"	"以施法者为中心通过膨胀和收缩来自另一个位面的能量冲击敌人的灵魂造成伤害。被击中的敌人会在短时间内减速和沉默."	
		"DOTA_Tooltip_ability_winterblight_spirit_ring_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_spirit_ring_slow_and_silence_duration"	"减速和沉默的持续时间:"

		"DOTA_Tooltip_modifier_spirit_ring_slow"					"灵魂冲击"
		"DOTA_Tooltip_modifier_spirit_ring_slow_Description"		"被减速和沉默"

		"DOTA_Tooltip_ability_winterblight_aeon_shield"				"永生盾"
		"DOTA_Tooltip_ability_winterblight_aeon_shield_Description"	"当即将受到可使该单位的生命值降低到一个阈值以下的伤害时，将伤害限制到该阈值，并触发一个完全免疫的防护罩."	
		"DOTA_Tooltip_ability_winterblight_aeon_shield_threshold"	"% 触发阈值:"

		"DOTA_Tooltip_modifier_aeon_shield_charges"					"永生盾充能"
		"DOTA_Tooltip_modifier_aeon_shield_charges_Description"		"只要有充能，永生盾就可以触发."

		"DOTA_Tooltip_modifier_aeon_shield_active"					"永生盾"
		"DOTA_Tooltip_modifier_aeon_shield_active_Description"		"完全免疫"

		"DOTA_Tooltip_ability_zect_rider_thunder_strike"			"雷霆之击"
		"DOTA_Tooltip_ability_zect_rider_thunder_strike_Description"	"用闪电反复击打目标单位，造成伤害并获得目标视野."
		"DOTA_Tooltip_ability_zect_rider_thunder_strike_strike_interval"	"打击周期:"
		"DOTA_Tooltip_ability_zect_rider_thunder_strike_strikes"			"打击次数:"
		"DOTA_Tooltip_ability_zect_rider_thunder_strike_strike_damage"		"每次打击伤害:"

		"DOTA_Tooltip_ability_zect_rider_arc_lightning"				"连锁闪电"
		"DOTA_Tooltip_ability_zect_rider_arc_lightning_Description"	"对目标发射一束闪电，可跳到其他目标造成伤害 ."
		"DOTA_Tooltip_ability_zect_rider_arc_lightning_arc_damage"	"伤害:"
		"DOTA_Tooltip_ability_zect_rider_arc_lightning_radius"		"闪电跳跃搜索距离:"
		"DOTA_Tooltip_ability_zect_rider_arc_lightning_jump_count"	"跳跃次数"
		"DOTA_Tooltip_ability_zect_rider_arc_lightning_jump_delay"	"跳跃延迟:"

		"DOTA_Tooltip_ability_zect_rider_lightning_bolt"			"雷击"
		"DOTA_Tooltip_ability_zect_rider_lightning_bolt_Descriptions"	"用强力的雷击攻击敌人."

		"DOTA_Tooltip_ability_radium_spores"						"放射性孢子"
		"DOTA_Tooltip_ability_radium_spores_Description"			"对目标敌人施加一个可以降低他们正面buff持续时间的debuff，同时减少他们的攻击力和速度."
		"DOTA_Tooltip_ability_radium_spores_modifier_duration_reduction"	"% 正面buff持续时间减少:"
		"DOTA_Tooltip_ability_radium_spores_slow"							"减速持续时间:"
		"DOTA_Tooltip_ability_radium_spores_curse_duration"					"孢子持续时间:"

		"DOTA_Tooltip_modifier_radium_spores"						"放射性孢子"
		"DOTA_Tooltip_modifier_radium_spores_Description"			"正面buff持续时间降低"

		"DOTA_Tooltip_radium_spores_slow"						"放射性孢子减速"
		"DOTA_Tooltip_radium_spores_slow_Description"			"降低攻击力，移动速度和攻击速度"

		"DOTA_Tooltip_ability_icicle_barrage"					"冰锥弹幕"
		"DOTA_Tooltip_ability_icicle_barrage_Description"		"向目标投掷冰锥，造成伤害并减速范围内的敌人。当一个敌人被击中时，会对他们施加一层冰锥弹幕层数, 之后的冰锥弹幕会根据此层数对目标投射额外的冰锥."
		"DOTA_Tooltip_ability_icicle_barrage_max_stacks"		"最大冰锥层数:"
		"DOTA_Tooltip_ability_icicle_barrage_damage"			"伤害:"
		"DOTA_Tooltip_ability_icicle_barrage_ms_loss"			"移动速度减少:"
		"DOTA_Tooltip_ability_icicle_barrage_as_loss"			"攻击速度减少:"

		"DOTA_Tooltip_modifier_icicle_barrage_stacks"			"冰锥弹幕层数"
		"DOTA_Tooltip_modifier_icicle_barrage_stacks_Description"	"对这个单位投射额外的冰锥"

		"DOTA_Tooltip_winterblight_shroom_procurement"			"真菌爆炸"
		"DOTA_Tooltip_winterblight_shroom_procurement_Description"	"在施法者周围随机产生不稳定的真菌。当真菌数量达到临界值时，会爆炸并产生一团毒云，同时产生混乱孢子并造成沉默."
		"DOTA_Tooltip_winterblight_shroom_procurement_damage_per_tick"	"毒云伤害:"	

		"DOTA_Tooltip_modifier_shroom_procure_aura"				"真菌孢子"
		"DOTA_Tooltip_modifier_shroom_procure_aura_Description"	"减速、沉默和移动指令反转."

		"DOTA_Tooltip_ability_winterblight_demented_mushroom_passive"	"不稳定真菌"
		"DOTA_Tooltip_ability_winterblight_demented_mushroom_passive_Description"	"在施法者周围发射有毒的黏液，减缓敌人的攻击速度."
		"DOTA_Tooltip_ability_winterblight_demented_mushroom_passive_damage"		"伤害:"

		"DOTA_Tooltip_modifier_demented_mushroom_slow"					"不稳定真菌"
		"DOTA_Tooltip_modifier_demented_mushroom_slow_Description"		"极大减缓移动速度"

		"DOTA_Tooltip_ability_three_perceptions"						"三重感知"
		"DOTA_Tooltip_ability_three_perceptions_Description"			"对未来幻象的一瞥使施法者有能力进行3次特殊攻击，攻击可移动施法者并将被攻击者眩晕和击退.在攻击过程中施法者魔法免疫 ."
		"DOTA_Tooltip_ability_three_perceptions_attacks"				"攻击:"
		"DOTA_Tooltip_ability_three_perceptions_bonus_damage"			"额外伤害:"
		"DOTA_Tooltip_ability_three_perceptions_stun_duration"			"眩晕时间:"

		"DOTA_Tooltip_ability_winterblight_gravekeeper"					"守墓者"
		"DOTA_Tooltip_ability_winterblight_gravekeeper_Description"		"对同一目标的连续攻击会增强你能力并消耗它的活力.每层提高10%你造成的所有税前伤害，同时吸取它3移动速度。更改攻击目标移除所有层数。无论攻击速度有多快，这个效果1秒内最多叠加 <font color='#ccff66'>8</font>层"
		//same tooltip as gravekeeper gauntlet

		"DOTA_Tooltip_ability_winterblight_frost_overwhelming"			"寒冰内核"
		"DOTA_Tooltip_ability_winterblight_frost_overwhelming_Description"	"在死亡时，这个单位的绝对冻结核心的寒气被释放。能量真空将冻结所有附近的盟友，使他们在一段时间内免疫伤害并恢复最大生命值的%."
		"DOTA_Tooltip_ability_winterblight_frost_overwhelming_radius"		"范围:"	

		"DOTA_Tooltip_ability_winterblight_giant_snow_crab_passive"		"大闸蟹"
		"DOTA_Tooltip_ability_winterblight_giant_snow_crab_passive_Description"	"这是只大闸蟹."

		"DOTA_Tooltip_ability_winterblight_dome_of_aquarius"			"宝瓶座穹顶"
		"DOTA_Tooltip_ability_winterblight_dome_of_aquarius_Description"	"天体知识的流动形成了一个球状遮罩。当施法者和他的盟友站在穹顶内时，他们对穹顶外的攻击免疫."
		"DOTA_Tooltip_ability_winterblight_dome_of_aquarius_duration"	"持续时间:"
		"DOTA_Tooltip_ability_winterblight_dome_of_aquarius_radius"		"范围:"

		"DOTA_Tooltip_ability_ability_unshakable"								"不可动摇"
		"DOTA_Tooltip_ability_ability_unshakable_Description"					"所有敌人施加的debuff持续时间将被大幅度减少."
		"DOTA_Tooltip_ability_ability_unshakable_modifier_duration_reduction"	"% debuff持续时间减少:"

		"DOTA_Tooltip_ability_winterblight_space_shark_passive"					"最终捕食者"
		"DOTA_Tooltip_ability_winterblight_space_shark_passive_Description"		"攻击一个敌人对其施加一个可叠加的buff。一旦达到5层时自身将蜕变为最终捕食者，获得巨大的攻击力和一击必杀的能力。一击必杀效果只对英雄有效 ."
		"DOTA_Tooltip_ability_winterblight_space_shark_passive_damage_bonus_per_stack"	"%每层buff增加攻击力:"
		"DOTA_Tooltip_ability_winterblight_space_shark_passive_duration"				"buff持续时间:"	
		"DOTA_Tooltip_ability_winterblight_space_shark_passive_damage_bonus_full_shark"	"% 最终捕食者状态下额外攻击力:"

		"DOTA_Tooltip_modifier_space_shark_stacks"									"捕食者蜕变"
		"DOTA_Tooltip_modifier_space_shark_stacks_Description"						"获得额外攻击力. 叠加5层后蜕变为最终捕食者."

		"DOTA_Tooltip_modifier_space_shark_full"									"最终捕食者"
		"DOTA_Tooltip_modifier_space_shark_full_Description"						"攻击力巨幅提高. 对英雄一击必杀."

		"DOTA_Tooltip_ability_winterblight_bone_blister_passive"					"寒霜爆发"
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_Description"		"每隔一段时间，就会在施法者附近的任意位置产生一次冰爆。随着这个单位生命值的下降，爆炸的频率将会增加 ."
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_damage"				"伤害:"
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_ms_loss"			"移动速度降低:"
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_as_loss"			"攻击速度降低:"
	
		"DOTA_Tooltip_ability_winterblight_astral_weapon"							"星体武器"
		"DOTA_Tooltip_ability_winterblight_astral_weapon_Description"				"攻击会根据目标的最大生命值造成额外的纯粹伤害 ."
		"DOTA_Tooltip_ability_winterblight_astral_weapon_damage_pct_target_max_health"	"% 最大生命值的纯粹伤害:"

		"DOTA_Tooltip_ability_winterblight_star_eater_passive"						"卫星激光炮"
		"DOTA_Tooltip_ability_winterblight_star_eater_passive_Description"			"精确的激光在施法者周围旋转射击。激光与施法者的距离会根据附近敌人的位置进行调整."
		"DOTA_Tooltip_ability_winterblight_star_eater_passive_damage"				"伤害:"

		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive"					"外显子幻象"
		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive_Description"		"受到的任何伤害都会对攻击者造成伤害和冻结."
		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive_damage"			"伤害:"
		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive_damage_freeze_duration"	"冻结时间:"

		"DOTA_Tooltip_modifier_galaxy_knight_freeze"								"外显子幻象"
		"DOTA_Tooltip_modifier_galaxy_knight_freeze_Description"					"冻结"

		"DOTA_Tooltip_ability_ellipsis_wave"										"抹除光波"
		"DOTA_Tooltip_ability_ellipsis_wave_Description"							"向前发射光波，对敌人造成的伤害并缴械 ."
		"DOTA_Tooltip_ability_ellipsis_wave_damage"									"伤害:"
		"DOTA_Tooltip_ability_ellipsis_wave_disarm_duration"						"缴械时间:"

		"DOTA_Tooltip_modifier_ellipsis_wave_disarm"								"抹除光波"
		"DOTA_Tooltip_modifier_ellipsis_wave_disarm_Description"					"缴械"

		"DOTA_Tooltip_ability_winterblight_brain_freeze"							"思维冻结"
		"DOTA_Tooltip_ability_winterblight_brain_freeze_Description"				"创建一个小区域，使进入的敌人沉默."
		"DOTA_Tooltip_ability_winterblight_brain_freeze_duration"					"持续时间:"

		"DOTA_Tooltip_modifier_brain_freeze"										"思维冻结"
		"DOTA_Tooltip_modifier_brain_freeze_Description"							"被沉默"

		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base"					"寒潮图腾"
		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base_Description"		"在目标位置创建图腾，以治疗其半径内的敌人 . 图腾受到3次攻击摧毁."
		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base_heal_percent"		"% 每0.5秒治疗:"
		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base_duration"			"持续时间:"

		"DOTA_Tooltip_ability_gigarraun_fissure"									"超核裂变"
		"DOTA_Tooltip_ability_gigarraun_fissure_Description"						"一条长长的裂缝形成一道不可移动的墙。被初始裂缝击中的敌人会受到伤害并被震晕 ."	
		"DOTA_Tooltip_ability_gigarraun_fissure_fissure_range"						"范围:"
		"DOTA_Tooltip_ability_gigarraun_fissure_fissure_duration"					"裂缝持续时间:"
		"DOTA_Tooltip_ability_gigarraun_fissure_fissure_radius"						"眩晕范围:"
		"DOTA_Tooltip_ability_gigarraun_fissure_stun_duration"						"眩晕时间:"

		"DOTA_Tooltip_ability_tiamat_scorch_charge"									"巨龙冲击"
		"DOTA_Tooltip_ability_tiamat_scorch_charge_Description"						"冲向目标位置，留下一条布满极致烈焰的道路 ."

		"DOTA_Tooltip_ability_tiamat_fire_breath"									"极致烈焰"
		"DOTA_Tooltip_ability_tiamat_fire_breath_Description"						"提亚马特的绚丽吐息在目标位置产生一团火焰."
		"DOTA_Tooltip_ability_tiamat_fire_breath_damage"							"伤害:"

		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack"						"钻石星辰击"
		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack_Description"			"提亚马特的攻击会在目标周围造成冰冷的AOE伤害，造成纯粹伤害并减慢移动速度."
		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack_damage"				"伤害:"
		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack_ms_loss"				"移动速度降低:"

		"DOTA_Tooltip_ability_realm_breaker_radeon_orbit"							"轨道弹珠"
		"DOTA_Tooltip_ability_realm_breaker_radeon_orbit_Description"				"宇宙火花寻找附近的敌人并在撞击中在目标之间反弹."
		"DOTA_Tooltip_ability_realm_breaker_radeon_orbit_damage"					"伤害:"
		"DOTA_Tooltip_ability_realm_breaker_radeon_orbit_base_bounces"				"最大反弹次数:"

"winterblight_cavern"										"凛冬霜枯洞穴"
		"winterblight_cavern_guide"									"洞穴指引者"
		"star_wb_master_title"										"洞穴之主"

		"winterblight_cavern_help1"									"选择一个密室查看挑战列表。一次只有一个挑战可以在每个密室中激活。怪物不能离开自己的密室，也不会受到来自外面的伤害。只有发起挑战的玩家才能在这里伤害怪物 ."
		"winterblight_cavern_help2"									"从下面的列表中选择一个挑战。完成一个挑战提供可以用来召唤boss的遗物碎片。每局游戏的遗物碎片都会重置."
		"winterblight_cavern_help3"									"选择一个挑战级别。您只能为此挑战选择一个等于或小于1+此英雄的最高通关级别。更高的挑战级别可以奖励更多的秘银水晶，并获得一些更稀有的物品."
		"winterblight_cavern_help4"									"你的遗物碎片可以用来召唤曾在过去的几个世纪里统治过这座雪山的远古巨兽."

		"winterblight_cavern_room1"									"寒霜大厅"
		"winterblight_cavern_room2"									"极光长廊"
		"winterblight_cavern_room3"									"水晶之地"
		"winterblight_cavern_room4"									"凛冬边界"

		"winterblight_cavern_boss_button_label"						"召唤Boss"
		"winterblight_cavern_boss_summary"							"@boss_name's 的级别由@chamber_name 的平均通关级别决定. 在这个密室中至少完成一个事件才能召唤boss"
		"winterblight_realm_breaker"								"王国破坏者"
		"winterblight_cavern_boss_tiamat"							"提亚马特"

		"winterblight_realm_breaker_summary"						"王国破坏者的等级由所有密室事件的平均通关等级决定."

		"winterblight_cavern_final_boss_summary"					"提亚马特的等级由其他4个boss的平均等级决定。提亚马特只能在所有4个首领都被击败后才能被召唤。这是最后一次召唤，洞穴引导者随后会离开。 ."

		"winterblight_boss_status1"									"已召唤"
		"winterblight_boss_status2"									"已击败"

		"winterblight_cavern_room1_event1"							"标准模式"
		"winterblight_cavern_room1_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room1_event2"							"极寒幽魂歼灭战"
